id	title	closed_at	close_reason_len	close_reason	names_command(y/n)	names_commit(sha or -)	commit_resolves(git cat-file -e: y/n)	names_path(path or -)	path_exists(y/n)	class(OK|REPAIRABLE|NO-EVIDENCE)	repair_evidence(the commit/receipt you found elsewhere, e.g. by `git log --all --grep=<id>` or a receipt naming the id)
jev-0bp	Run skillranker at origin/main 4ed4c9b: clean export, native build, keyed rank	2026-09-23T03:03:41.741216Z	332	SUPERSEDED, not done at pin: 4ed4c9b cannot build for macOS by construction (src/lib.rs:25-26 cfg linux storage; cache/coordination.rs:574 uses it unconditionally; skillranker-origin-main-20260919.md:9,22,38 BLOCKED, dc2016c). All 4 acceptance legs met at 0e61cc6 under jev-ddq: skillranker-dogfood-2	n	4ed4c9b	n	-	n	REPAIRABLE	83300a1;0d36407;90ef596;EVAL.md;NEGATIVE_EVIDENCE.md;notes/omp-continue-fit-p3.md;repair-bead:jev-qex(closed)
jev-0c6	Adapter for on-disk omp SessionEntry transcripts (type: message)	2026-09-19T11:06:23.815782Z	4	done	n	-	n	-	n	REPAIRABLE	50c57b7;ce7f94a;0d17865;NEGATIVE_EVIDENCE.md;docs/demos/upstream-repro/omp-session-entry-adapter-20260919.md
jev-0v9	[jeff-track-jevcache-statepreview] jevcache 0.1.0 writes plaintext credentials t	2026-09-20T04:20:30.815574Z	594	Acceptance criterion 2 met: we stopped using jevcache. Removed at 8fe44b2 + f717ba3 -- binary, both plaintext ledgers, and the hub-supervised process (restarts=8, stopped via hub stop, not kill). Verified: not on PATH, 0 processes, port 9000 free, all six hub entries exited/failed. grep -rln jevcach	y	8fe44b2	y	-	n	OK	-
jev-1p6	Run skillranker: build, sr demo --case useful, doctor/capabilities/roster --json	2026-09-19T02:49:42.640719Z	202	docs/demos/upstream-repro/skillranker-20260919.md [oracle]: RCH-E327 Linux ELF run via Docker ro; only doctor implemented (phase-gated rest), demo/capabilities/roster absent-not-failed. Clone untouched.	n	20260919	n	docs/demos/upstream-repro/skillranker-20260919.md	y	OK	-
jev-27q	Mine fh doc-index denominator and mechanizable split; triage rejected surface	2026-09-20T22:19:11.461818Z	333	VERDICT: denominator 36,692 rules indexed (33,380 AGENTS/CONTRACT records, 117 repos). Split n=60: 87.4% pure advice, ~1.3% mechanizable-shape, ~0.4% universal. Sole universal candidate (shell backtick substitution) 12 hits below floor with deliberate-probe residuals — R59. Rejected surface 23,151 r	n	-	n	-	n	REPAIRABLE	bdf5b77;work/nev-routing/tool-select-labelled.jsonl
jev-2om	Exposure-ranked census of our own defect classes, no rules	2026-09-20T23:24:08.903943Z	248	VERDICT: exposure census landed (essay + TSV for P3 tool). Top5: backtick1417, glob820-SHIPPED, pipe807-SHIPPED, destructive258-redundant, timeout247-form-correct. Detectable 5/5. Handed class: undetectable-as-string, REDIRECT to denominator-sweep.	n	-	n	-	n	REPAIRABLE	989dc65;work/nev-routing/tool-select-labelled.jsonl
jev-2p2	Write ft-sh-doctrine and ft-md-doctrine system-wide rules with selftest arms	2026-09-20T22:54:51.489183Z	243	VERDICT: ft-sh-doctrine + ft-md-doctrine written system-wide (contract exact); 6/6 ttsr-test probes green; 6 arms appended post-P3-commit without touching P3 lines; full suite 64 ok 0 failed. No live-fire from this session (rules postdate it).	n	-	n	-	n	REPAIRABLE	92a697c;work/nev-routing/tool-select-labelled.jsonl
jev-2rd	Gap-condition .md and .sh: measure before writing, close undeliverables	2026-09-20T23:17:59.268396Z	181	VERDICT: gap funnel 3 in 0 survive — SH1 2 hits, SH2 95 hits FP 1.00, MD1 37 hits FP 1.00. Advisory 3/3 numeric_refuse. Undeliverables closed permanently (R65). Read-once owns them.	n	-	n	-	n	REPAIRABLE	3698023;work/nev-routing/tool-select-labelled.jsonl
jev-2tb	Thread .py and ship ft-py-doctrine.md iff it clears the bar	2026-09-20T23:01:35.255417Z	264	VERDICT: SHIPPED ft-py-doctrine.md (uv-only, ruff-gates, live-pandas; incident marks checked). 6/6 probes green, 6 arms appended, suite 71/0. Surfaces: doc-index 390k, techniques all-Rust, oracles D4/D5/D8/D9, doctrine-history bio+fpd, omp builtins zero py-scoped.	n	-	n	-	n	REPAIRABLE	5cd8517;work/nev-routing/tool-select-labelled.jsonl
jev-3o2	screen-shape unit: non-author grade of STAND verdict	2026-09-22T01:59:44.217634Z	251	PASS by grader SunnyTiger (p4, non-author): re-derived S rows 662/0fail, 639 acc 0.9653, agree 660, 1-1 p=1.0, Wilson 0.9484, bar e494791 pre-spend, EVAL row present. Independent derivation (stronger than analyzer re-run). Recorded as VERDICT comment.	n	e494791	y	-	n	OK	-
jev-44t	Container-fit writeup plus survival curve plus doctrine-history filter	2026-09-20T22:38:16.349181Z	272	VERDICT: container-fit written (97% non-mechanizable); survival curve measured (3 reach labelling, all refused: contamination, redundancy, FP 1.00; 6 below floor); doctrine-history filter verified working, sampled rows bulk-imported not incident-earned. SHIPPED 0 + essay.	n	-	n	-	n	REPAIRABLE	1c7c414;work/nev-routing/tool-select-labelled.jsonl
jev-4uy	Second upstream project for phi: is ~0.5 a real boundary or an artifact?	2026-09-19T03:48:34.303468Z	181	docs/demos/phi-second-pair-20260919.md [oracle]: sec-bench pair n=662 phi 0.343 [0.213,0.469] gain -0.006, DID_NOT_PAY; outcome (b) no second pair, clones surveyed. Zero live calls.	n	20260919	n	docs/demos/phi-second-pair-20260919.md	y	OK	-
jev-4vz	Sweep the exit-0-on-missing hook class: one instance fixed, class unswept	2026-09-19T03:51:18.964754Z	219	EVAL row [test]: class swept, zero silent-passers - all 4 missing-checker branches fired in scratch (exit 1/1/1/0-named), live-vs-source diff cosmetic, impls self-contained. No fixes needed. Foundry hooks not exercised.	n	-	n	-	n	REPAIRABLE	df19add;715d07b;EVAL.md;work/toolcall-judge-v3/real-allowed.json;docs/demos/upstream-repro/hook-exit-code-sweep-20260919.md
jev-8i8	Build consumer-check NEED 2 with invocation-vs-mention discriminator	2026-09-20T23:39:23.636525Z	65	consumer-check built, selftest 6/6, RED proven, EVAL row recorded	n	-	n	-	n	REPAIRABLE	4f04a48;work/nev-routing/tool-select-labelled.jsonl
jev-awj	L4 provisional missing EVAL.md row (grade-flagged close-out)	2026-09-22T02:03:25.766493Z	234	PASS: EVAL L4 row at 5cb61cb verified against acceptance — N=3, jev-1.13.0, flag p=0.99 + 2 pass-silent, cap 8, wall 49s, latency/tokens absent stated, NO-CLAIM one-session scope. Landed before this bead was read; no new write needed.	n	5cb61cb	y	-	n	OK	-
jev-azy	[jev-track-codex-router] backtest silently reports savings from a collapsed samp	2026-09-19T17:38:12.330557Z	637	WONTFIX-upstream-archived: 0xNatoshi/jev-codex-router isArchived=true (pushedAt 2026-09-17), so createIssue is refused read-only. Draft reached rubric pass 7/7 and auto_post; GitHub rejected the create, nothing was posted. Finding stands internally in docs/demos/upstream-repro/router-savings-inverts	y	20260919	n	-	n	OK	-
jev-cde	Write one-clause ft-json-doctrine rule, then stop adding rules	2026-09-20T23:05:55.923807Z	209	VERDICT: SHIPPED one-clause ft-json-doctrine (no-customer-state + rg check); cut schema_version and errors-as-data. 4/4 probes green, 4 arms appended to clean file, suite 76/0. Last rule until bind rates back.	y	-	n	-	n	OK	-
jev-compact-ab-l6f	Resume-quality A/B: Jev-prune vs generic summary	2026-09-17T23:46:25.863928Z	110	Receipt compaction/runs/ab-20260917.json; live verdict B wins (A 1/3, B 3/3), four live calls, commit e763fa3.	n	20260917	n	compaction/runs/ab-20260917.json	y	OK	-
