package	loaded	where	types	real_rows	real_error	real_scored	real_other	last_scored	probe_rows	credits_402
omp-jev-commit	no	-	com.zeststream.omp-jev-commit.decision.v1	0	0	0	0	-	0	0
omp-jev-default	no	-	com.zeststream.omp-jev-default.decision.v1	0	0	0	0	-	0	0
omp-jev-dispatch	no	-	com.zeststream.omp-jev-dispatch.decision.v1	0	0	0	0	-	0	0
omp-jev-failure	no	-	com.zeststream.omp-jev-failure.decision.v1	1	0	1	0	2026-09-19T23:39:38.971Z	0	0
omp-jev-field	no	-	com.zeststream.omp-jev-field.decision.v1	0	0	0	0	-	0	0
omp-jev-firstlook	no	-	com.zeststream.omp-jev-firstlook.decision.v1	0	0	0	0	-	0	0
omp-jev-foreman	no	-	com.zeststream.omp-jev-foreman.decision.v1	2	0	2	0	2026-09-20T00:02:18.922Z	0	0
omp-jev-fork	no	-	com.zeststream.omp-jev-fork.decision.v1	0	0	0	0	-	0	0
omp-jev-heat	no	-	com.zeststream.omp-jev-heat.decision.v1	0	0	0	0	-	0	0
omp-jev-heckle	no	-	com.zeststream.omp-jev-heckle.decision.v1	0	0	0	0	-	0	0
omp-jev-jargon	no	-	com.zeststream.omp-jev-jargon.decision.v1	0	0	0	0	-	0	0
omp-jev-observer	yes	profile:jev-lab	com.zeststream.omp-jev-observer.decision.v1	4	0	0	4	-	24	0
omp-jev-preaction	yes	profile:jev-lab	com.zeststream.omp-jev-preaction.decision.v1	3	0	0	3	-	47	0
omp-jev-promise	no	-	com.zeststream.omp-jev-promise.decision.v1	0	0	0	0	-	0	0
omp-jev-rerank	no	-	com.zeststream.omp-jev-rerank.decision.v1	0	0	0	0	-	0	0
omp-jev-review	yes	profile:jev-lab	com.zeststream.omp-jev-review.decision.v1	0	0	0	0	-	17	0
omp-jev-route	yes	profile:jev-lab	com.zeststream.omp-jev-route.decision.v1	13	11	2	0	2026-09-20T17:49:19.777Z	134	0
omp-jev-screen-log	no	-	com.zeststream.jev-screen.screen.v1	0	0	0	0	-	0	0
omp-jev-skip	no	-	com.zeststream.omp-jev-skip.decision.v1	0	0	0	0	-	0	0
omp-jev-uncanny	no	-	com.zeststream.omp-jev-uncanny.decision.v1	0	0	0	0	-	0	0
omp-jev-undo	no	-	com.zeststream.omp-jev-undo.decision.v1	0	0	0	0	-	0	0
# packages 21 session_files 2126 roots 9 credits_402_since_2026-09-24T04:19:00Z 0
