task	human_success_rate	best_published_agent_success_rate	human_source	best_agent_source	source_version_match	metric	absence_or_comparability_note
ascending-numbers					n/a		Not listed in Humphreys et al. (2022) Table 3; no published per-task number was found in the cited primary source; blank, never estimated.
bisect-angle	0.92	0.97	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
book-flight	0.87	0.87	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
book-flight-nodelay					n/a		Not listed in Humphreys et al. (2022) Table 3; no published per-task number was found in the cited primary source; blank, never estimated.
buy-ticket					n/a		Not listed in Humphreys et al. (2022) Table 3; no published per-task number was found in the cited primary source; blank, never estimated.
choose-date	0.97	0.97	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
choose-date-easy	0.99	0.99	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
choose-date-medium	0.98	0.99	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
choose-date-nodelay					n/a		Not listed in Humphreys et al. (2022) Table 3; no published per-task number was found in the cited primary source; blank, never estimated.
choose-list	0.98	0.99	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
