id	source	jev_status	evidence	executes	execution_evidence	smallest_honest_version	cost	defect_class_it_catches	rule12	refusal_fields	falsification_experiment
C1	/tmp/jev-intake/franken-zip/synthesis/cross-pollination.md §1	PARTIAL	foundation/kit/claims.tsv:2 enforced official-sdk row; check-claim-discipline.sh --selftest exit 0 run now; no SHA binding, no auto-demotion	yes	check-claim-discipline.sh --selftest -> exit 0; /tmp/p4-plant unmatched enforce=yes -> exit 1 naming p4-plant-row	already landed; add SHA-256 column plus mismatch-demote arm	1 file + 1 checker arm	stale README claims never demoted	adopt		Add freshness column to claims.tsv with 90-day ceiling: surfaces >=1 believed-current claim or is bookkeeping overhead.
C2	/tmp/jev-intake/franken-zip/synthesis/cross-pollination.md §2	GAP	claims.tsv header 7 cols, zero date/expiry/proof_date hits; check-demotion.sh:76-78 reads only $1/$5/$6; no expiry arm exists or fires (checker selftest green)	no	awk header NF=7 + grep date/expiry=0 hits + checker --selftest exit 0, two routes run now	claims.tsv proof_date column + check-demotion.sh expiry arm	1 file + 1 arm	stale proofs cited as current	adopt		Add freshness column to claims.tsv with 30-day ceiling: surfaces >=1 stale claim or falsified as overhead.
C3	/tmp/jev-intake/franken-zip/synthesis/cross-pollination.md §3	HAVE	NEGATIVE_EVIDENCE.md 83 R-headers (R1-R77+); 97 retry lines (64 retry-condition); R1:13 REFUTED + R39 trigger consumed (ledger live)	yes	recounts run now by 2 workers; rows banked with predicates observed	already landed	0	relitigated rejections	refuse		Require next 10 rejected experiments logged with retry conditions: a future session avoids re-running >=1 or ledger is ritual.
C4	/tmp/jev-intake/franken-zip/synthesis/cross-pollination.md §4	PARTIAL	AGENTS.md:672 bans single-state-as-distribution; no machine rule blocks an extrapolated ratio	no	rule is prose; no ratios table exists to audit	one ratios table with run/missing-baseline flags	1 file	incomplete baselines extrapolated into comparisons	adopt		Adopt the rule for 90 days: blocks >=1 extrapolated ratio or audit finds one missed and rule is decorative.
C5	/tmp/jev-intake/franken-zip/synthesis/cross-pollination.md §5	GAP	no signed baseline file; calibration receipts exist but no waiver-free regression gate refuses on drift	no	nothing to run	waiver-free baseline.json + drift gate in gates.d	2 files + 1 stage	environment drift rebasing wins	adopt		Replay last comparison with environment tagging: a historical win reclassifies as drift, else inject known drift and require the gate to fire.
C6	/tmp/jev-intake/franken-zip/synthesis/cross-pollination.md §6	GAP	no per-optimization bundle format; optimizations land as commit messages	no	nothing to run	one PROOF bundle template (golden transcript + paired runs + keep/reject gate)	1 template	unreviewable optimizations	refuse	cost 2 files + per-optimization labor; missed class: none observed (no optimization campaign running); lose: nothing today; revisit when an optimization lands	Next 5 accepted optimizations ship bundles: >=1 rejected at bundle stage or blind re-review agrees and bundle is control.
C7	/tmp/jev-intake/franken-zip/synthesis/cross-pollination.md §7	PARTIAL	AGENTS.md:674 every number carries lane/N/date/model/tree+SHA; receipts lack host/worker (packet.md:67-69)	no	prose rule only; no provenance linter	four-rule lint on receipts (worker/harness/both-estimators/replication)	1 script	provenance-free numbers quoted	adopt		Apply four rules retroactively to published ratios: >=1 re-grades to NO ADMISSIBLE RATIO or project was already compliant.
C8	/tmp/jev-intake/franken-zip/synthesis/cross-pollination.md §8	PARTIAL	AGENTS.md:664 self-comparison is maintenance; 85-promotion-contract.sh:17 adopts franken_engine shape; no A/A-null machinery	yes	gates.d/85-promotion-contract.sh --selftest -> PASS (3 arms) in stage-80 run now	promotion contract already landed; add A/A-null band check	1 arm	promotion drift (self-speedup sold as win)	adopt		Reclassify headline ratios under the doctrine: >=1 demotes to SELF-SPEEDUP or doctrine is relabeling.
C9	/tmp/jev-intake/franken-zip/synthesis/cross-pollination.md §9	HAVE	seat-guard.test.mjs:62-68 asker failure reviews without model call; unconfigured reason in client	yes	node --test seat-guard -> 9/9 pass, run 3x now (pane4 + 2 verifiers)	already landed	0	silent skips read as passes	refuse		Convert silent skips to typed events for one cycle: reveals a never-ran lane or adds ceremony without information.
C10	/tmp/jev-intake/franken-zip/synthesis/cross-pollination.md §10	GAP	no five-label vocabulary; EXPLORED-PROBED-WIRED-VALIDATED ladder is status, not maturity; no dated registry	no	nothing to run	dated capability registry L1-L5, 1 file	1 file + labeling labor	maturity drift (exists sold as works)	refuse	cost 1 file + labeling labor; missed class: none observed (no capability catalog exists); lose: nothing today	Label capabilities under the vocabulary: a README-mature item lands below publicly-invokable or vocabulary is relabeling.
C11	/tmp/jev-intake/franken-zip/synthesis/cross-pollination.md §11	GAP	no typed evidence colors; numbers carry lane/N/date/model but no composition algebra	no	nothing to run	color tags on verdicts + weakest-link compose rule	1 doc + convention	weak evidence laundered into strong claims	refuse	cost convention + recolor labor; missed class: none observed (no aggregate verdicts published); lose: nothing today	Re-color >=3 aggregate verdicts: one weakens or algebra restates practice.
C12	/tmp/jev-intake/franken-zip/synthesis/cross-pollination.md §12	NA	no remote-runner/RCH lanes (grep foundation+scripts zero hits); 4 local calibration receipts in foundation/runs/	no	absence grep + receipt listing, two routes run now	none while local-only	0	none (no remote execution)	refuse	cost 1 system; missed class: none (no remote lanes); lose: nothing	Retain next 10 batch receipts with source-hash binding if remote lanes ever appear.
C13	/tmp/jev-intake/franken-zip/synthesis/cross-pollination.md §13	GAP	no funnel aggregation; single numbers with denominators, no DROPPED lanes disclosed	no	nothing to run	funnel ledger (decidable-subset + selection pressure stated)	1 file	headline without its drops	adopt		Re-aggregate history as a funnel: headline changes or project already disclosed drops.
C14	/tmp/jev-intake/franken-zip/synthesis/cross-pollination.md §14	PARTIAL	stage 80 runs every stage --selftest; planted RED arms per stage; no full-gate planted-defect campaign	yes	stage-80 run now: all PASS except 97-readme-counts RED (exit 1 confirmed direct)	planted-defect campaign against gates.sh (3 defects)	1 run	decorative gates passing silently	adopt		Plant 3 defects (laundered claim, weakened gate, pumped commit): >=2 caught sound, 1 inconclusive, 0 theater.
G1	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md Gate 1	HAVE	br ready --json -> 4 ready rows, recounted 3x (pane4 + 2 verifiers); .beads/issues.jsonl 107 rows (70/18/14/5)	yes	br ready --json run now (4 rows: 8q7.1, jev-pkd, jev-vbh.6, jev-qsg); bead 8q7.3 claimed through it	already landed	0	prose plans drifting from reality	refuse		Not refused; the graph is the plan of record here.
G2	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md Gate 2	PARTIAL	dispatch packets carry goal/anchor/target/oracle/fixture/risk/acceptance by convention; no machine validator	no	no validator exists	packet schema validator (missing field => NOT READY)	1 script	holey plans agents exploit	adopt		Machine-check packet completeness: rejects >=1 holey packet or all pass and validator is control.
G3	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md Gate 3	PARTIAL	plan §10 phase exit criteria exist as prose; no script blocks a phase transition	no	prose only	phase-gate script blocking on unresolved blockers	1 script	phases ending when enthusiasm does	refuse	cost 1 script + wiring; missed class: none observed (phases currently gated by conductor review); lose: nothing today	Block one phase transition on an unresolved blocker or gate is decorative.
G4	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md Gate 4	PARTIAL	.github absent; 17 stages recounted (10,15,16,17,20,30,40,44,50,60,70,80,85,90,95,96,97), no release/publish/attestation stage; release text in foundation/ is prose only	no	ls + stage census + greps, two workers	CI backstop + release verdict script	1 workflow + allowlist change	unverified publication	adopt		Ship only on automated verdict once: blocks >=1 incomplete publish or backstop never fires.
G5	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md Gate 5	PARTIAL	per-tree suites run (npm test, pytest, node --test); no universal per-change gate; hooks run no tests	no	suite commands exist but unenforced per change	per-change gate list wired to a runner	1 doc	untested changes landing	adopt		Name per-change commands: a landing change skips them and is caught, or list is ritual.
G6	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md Gate 6	PARTIAL	hook fired exit 0 (2 independent runs); core.hooksPath absolute /Users/josh/Developer/jev/githooks; .git/hooks no pre-commit; lane 1 :30-36, lane 2 :38-68; zero claim/canary content	no	bash githooks/pre-commit -> exit 0 (lane2 no-op), run 2x	add claim-discipline lane + canary fixture	1 lane + 1 fixture	evidence failures committed silently	adopt		Commit an overclaimed canary: hook refuses or canary is decorative.
