path	rc	count	seconds	prerequisite	status
.omp/extensions/kit-guard/kit-guard.test.ts	0	79	0.06		PASS
.omp/hooks/post/jev-gate-observe.test.mjs	0	19	0.24		PASS
.omp/hooks/post/session-stop.test.mjs	0	11	0.16		PASS
compaction/test/ab-verdict.test.ts			0.03	./scripts/bootstrap-compaction.sh	SKIP
compaction/test/adapter.test.ts			0.03	./scripts/bootstrap-compaction.sh	SKIP
compaction/test/hindsight.test.ts			0.03	./scripts/bootstrap-compaction.sh	SKIP
compaction/test/hook-compact.test.ts			0.03	./scripts/bootstrap-compaction.sh	SKIP
compaction/test/omp-binding.test.ts			0.03	./scripts/bootstrap-compaction.sh	SKIP
demos/doc-drift/test/judge.test.mjs	0	6	0.14		PASS
demos/preaction-abstention/test/gate.test.mjs	0	13	0.17		PASS
demos/retransmit-whatif/test/whatif.test.mjs	0	2	0.24		PASS
demos/routing-backtest/src/counterfactual.test.mjs	0	29	0.74		PASS
demos/routing-backtest/test/adapt-claude.test.mjs	0	29	0.73		PASS
demos/routing-backtest/test/hostile-input.test.mjs	0	29	0.73		PASS
demos/routing-backtest/test/reader.test.mjs	0	29	0.74		PASS
demos/test/live-refusal.test.mjs	0	18	2.08		PASS
demos/test/live-state.test.mjs	1	4	0.46	npm ci --prefix work/sdk	SKIP
demos/usage-shape/test/shape-bin.test.mjs	0	2	0.33		PASS
ensemble/test_decorrelation.py	0	5	0.04		PASS
probes/fast-jev-probe.mts			0.00	vendored clone fast-jev-compaction (not in a fresh clone)	SKIP
work/bicameral-gate/test_redirect_readers.py	0	4	0.05		PASS
work/dogfood-logger/test/logger.test.mjs	0	4	0.16		PASS
work/jev-billing-units/measure.test.mjs	0	3	0.19		PASS
work/jev-claim-check/claim-check.test.mjs	0	11	0.17		PASS
work/jev-claim-check/cli-guard.test.mjs	0	6	0.70		PASS
work/jev-claim-check/numeric-choice.test.mjs	0	5	0.19		PASS
work/jev-claim-check/numeric-v2.test.mjs	0	7	0.19		PASS
work/jev-client/test/client.test.mjs	1	41	0.20	npm ci --prefix work/sdk	SKIP
work/jev-client/test/measure-kit.test.mjs	0	4	0.18		PASS
work/jev-client/test/timeout-leak.test.mjs	1	2	0.20	npm ci --prefix work/sdk	SKIP
work/jev-client/test/uncertain.test.mjs	0	4	0.17		PASS
work/jev-dcg-override/override.test.mjs	0	3	0.14		PASS
work/jev-eval-honesty/co-presence.test.mjs	0	23	0.25		PASS
work/jev-eval-honesty/judge-run.test.mjs	0	23	0.26		PASS
work/jev-eval-honesty/outcome-join.test.mjs	0	23	0.26		PASS
work/jev-eval-honesty/random-judge.test.mjs	0	23	0.26		PASS
work/jev-exec-data/exec-data.test.mjs	0	11	0.14		PASS
work/jev-persona-eval/adopt.test.mjs	0	3	0.14		PASS
work/jev-prevalence-first/prevalence-check.test.mjs	0	10	0.51		PASS
work/jev-question-writing/trial-labels.test.mjs	0	7	0.16		PASS
work/jev-real-corpus-eval/test/score.test.mjs	0	10	0.22		PASS
work/jev-retransmit-killer/adopt-gate.test.mjs	0	5	0.41		PASS
work/jev-score-register/register.test.mjs	0	15	0.20		PASS
work/jev-triage/advisory-veto.test.mjs	0	6	0.25		PASS
