surface	jev_location	franken_repo	how_we_use_it	packet_TRL	packet_NODUS	packet_CI_class	packet_release_class	claim_we_rely_on	packet_status_of_that_claim	rider	action	reason
doctrine-reward-hacking	AGENTS.md:642	frankensearch	10 forbidden patterns adapted from RULE 0.5	5-6	Explore	C5	R3	RULE 0.5 exists as doctrine source	not-assessed: zero hits for reward-hack/RULE 0.5 in frankensearch-assessment.md	yes	monitor	doctrine earns keep on use; origin unverified, recheck on packet revision
design-precedent	AGENTS.md:1576	asupersync	e-process and oracle-kit design precedent	6	Pilot	C3	R3	eprocess.rs exists with anytime-validity	demonstrated-existence; replay not executed (asupersync-assessment.md:81)	yes	keep	origin exists; jev reimplements, never links
design-precedent	AGENTS.md:1576	franken_ocr	ladder and conformance precedent	6	Pilot	C5	R3	L0-L5 ladder and conformal ratchet exist	verified-machinery-exists; gate outcomes maintainer-claim (franken_ocr-assessment.md:136)	yes	keep	machinery verified present
design-precedent	AGENTS.md:1576	franken_engine	promotion-shape precedent	4-5	Explore	C2	R2	promotion controller with rollback receipts exists	code-verified-existence (franken_engine-assessment.md:119); core CI red at pin and quality/perf zero runs (ibid:21)	yes	re-tier	cite as shape-only, never as proven; stage 85 header already does
design-precedent	AGENTS.md:1576	frankensearch	perf-ratchet precedent	5-6	Explore	C5	R3	quill-gauntlet perf ratchet exists	counted (frankensearch-assessment.md:121)	yes	keep	existence counted at pin
promotion-gate	foundation/gates.d/85-promotion-contract.sh:17-40;GATES.md:96	franken_engine	four-gate vocabulary plus live-receipt-path presence check	4-5	Explore	C2	R2	same as design-precedent engine row	partially: shape exists, engine's own gates red/unrun; jev header disclaims proof and MEASURED BOUNDARY shows a JUNK row promotes GREEN	yes	keep	header states presence-not-proof; substantive bar enforced by people per docs/demos/PLAN.md
promotion-comment	scripts/promotion-four-gates.py:4	franken_engine	AND-of-four-gates comment	4-5	Explore	C2	R2	same	same	yes	keep	comment only; no enforcement claimed
demotion-D1	foundation/kit/demotion-rules.md:22	frankenfs	D1 origin cite	4	Explore	C2	R3	readiness-action-autopilot.md section 4 exists	not-assessed: zero hits in frankenfs-assessment.md	yes	monitor	rule is procedural; origin unverified
demotion-D2	foundation/kit/demotion-rules.md:30	frankenfs	D2 origin cite	4	Explore	C2	R3	tracker-hygiene.md exists	not-assessed	yes	monitor	same
demotion-D3	foundation/kit/demotion-rules.md:37	frankenfs	D3 origin cite	4	Explore	C2	R3	MODULARITY_RUNBOOK gate-change passage exists	not-assessed	yes	monitor	same
demotion-D3	foundation/kit/demotion-rules.md:37	frankenredis	D3 second origin	4-5	Explore	C2	R2	GATE_VALIDITY.md exists	not-assessed: zero hits in frankenredis-assessment.md (packet praises NEGATIVE_EVIDENCE ledger instead)	yes	monitor	same
demotion-D4	foundation/kit/demotion-rules.md:44	frankensim	D4 origin cite	4	Explore	C6	R1	MATURITY_LEVELS.md demotion passage exists	not-assessed: zero hits in frankensim-assessment.md (packet verifies capability-maturity.json instead)	yes	monitor	same
demotion-D5	foundation/kit/demotion-rules.md:51	frankensympy	D5 origin cite	3-4	Explore	C2	R1	claims.toml retains retired ids	partially: registry exists, 27 claims 0 validated (frankensympy-assessment.md:84); retired-id retention not assessed	yes	monitor	first retirement tests D5
demotion-D6	foundation/kit/demotion-rules.md:59	frankentui	D6 origin cite	6	Explore	C5	R2	claims-ledger.md enforces 90-day expiry	partially: ledger verified present, 152 rows plus validator (frankentui-assessment.md:15,33); 90-day rule not assessed	yes	monitor	expiry behavior unverified at origin
demotion-D7	foundation/kit/demotion-rules.md:66	frankengit	D7 origin cite	4	Explore	C3	R1	claims.tsv plus VERIFY_SPEC.md exist	partially: registry and spec verified present (frankengit-assessment.md:18,24); auto-demotion behavior not executed	yes	keep	proof-exists slice executes here in 17-kit-demotion.sh
kit-guard-shape	.omp/extensions/kit-guard/policy.ts:4	synthesis Gate 18 (not a repo)	B5/B7/A9 hard blocks from execution-readiness Gate 18	n/a	n/a	n/a	n/a	Gate 18 binds 29/44 mostly by agent obedience	demonstrated (execution-readiness.md:117,171)	n/a	keep	guard ports the finding to enforcement; the failure it ports is documented
mcp-tool	.omp/mcp.json:6	franken-harvest (outside the 44)	morph-mcp.sh indexes the mirror for code search	none	none	none	none	tool runs	no packet (outside corpus)	none	pin	wire only; no origin claim made
cli-tool	fh via AGENTS.md research surfaces	franken-harvest (outside the 44)	doctrine and provenance search over the mirror	none	none	none	none	index answers	no packet (outside corpus)	none	keep	measured doctrine, not origin claims
eprocess-impl	compaction/hindsight.ts:152,247;work/oracle-kit/index.mjs:87	asupersync	e-process reimplemented in TS	6	Pilot	C3	R3	same as design-precedent asupersync row	same	yes	keep	reimplementation with own tests; not a link
oracle-shapes	docs/demos/ORACLE-PROGRAM.md:50,57	franken_engine	promotion and differential-oracle shapes listed	4-5	Explore	C2	R2	runners exist	code-verified existence (packet strongest-evidence:28-claim matrix)	yes	monitor	program doc lists missing pieces honestly
oracle-shapes	docs/demos/ORACLE-PROGRAM.md:52-54	franken_ocr	ratchet cites	6	Pilot	C5	R3	L0-L5 ladder and conformal ratchet exist	verified-machinery-exists (franken_ocr-assessment.md:136)	yes	keep	existence verified at origin
oracle-shapes	docs/demos/ORACLE-PROGRAM.md:52-54	frankensearch	ratchet cites	5-6	Explore	C5	R3	quill-gauntlet perf ratchet exists	counted (frankensearch-assessment.md:121)	yes	keep	existence counted at pin
