label	readme_pattern	capability_key	expected_substr	proof_path	enforce	notes
official-sdk	Call the official SDK.	jev-client	new TypeSafeClient	work/jev-client/src/index.ts	yes	README line. Proof is the vendored TypeSafeClient constructor. Fixture bins are not this claim.
inj-fresh-jev	on 640 in a fresh live run here	jev-sec-bench	640/662 = 0.9668	docs/demos/upstream-repro/jev-sec-bench-w70-20260923.md	yes	README claim tied to its receipt; registered 2026-09-23 (W2.3). Proof holds the number, not a re-run.
inj-fresh-haiku	Claude Haiku 4.5 is right on 579 and on 584 across two runs	jev-sec-bench	584/662 = 0.8822	docs/demos/upstream-repro/jev-sec-bench-w70-20260923.md	yes	README claim tied to its receipt; registered 2026-09-23 (W2.3). Proof holds the number, not a re-run.
inj-fresh-discordants	61 against 5 in the fresh run	jev-sec-bench	jev-only 61 / llm-only 5	docs/demos/upstream-repro/jev-sec-bench-w70-20260923.md	yes	README claim tied to its receipt; registered 2026-09-23 (W2.3). Proof holds the number, not a re-run.
inj-fresh-rescore	fresh-20260923/score.py	nev-differential	mcnemar	work/nev-differential/fresh-20260923/score.py	yes	README claim tied to its receipt; registered 2026-09-23 (W2.3). Proof holds the number, not a re-run.
calibration-2026-09-22	ECE 0.0614, Brier 0.0195	calibration	0.0614	foundation/runs/20260922T021352Z.json	yes	README claim tied to its receipt; registered 2026-09-23 (W2.3). Proof holds the number, not a re-run.
risk-triage-floor	a keyword rule scored 58/60 against live Jev's 52/60	jev-benchmark	58/60	docs/demos/upstream-repro/jev-benchmark-w70-2026-09-23.md	yes	README claim tied to its receipt; registered 2026-09-23 (W2.3). Proof holds the number, not a re-run.
phishing-floor	a regex at 91.65% and Haiku both beat Jev's 62.98%	jev-phishing-bench	62.98	docs/demos/upstream-repro/jev-phishing-bench-w70-20260923.md	yes	README claim tied to its receipt; registered 2026-09-23 (W2.3). Proof holds the number, not a re-run.
threshold-transfer	held on the next 200, within 0.02	jevcal	0.73	docs/demos/upstream-repro/jevcal-live-w70-2026-09-23.md	yes	README claim tied to its receipt; registered 2026-09-23 (W2.3). Proof holds the number, not a re-run.
threshold-no-transfer	moved from 0.67 to 0.37	janus	0.37	docs/demos/upstream-repro/janus-w70-2026-09-23.md	yes	README claim tied to its receipt; registered 2026-09-23 (W2.3). Proof holds the number, not a re-run.
