repo	ground_truth	prev_num	prev_den	prev_pct	cost	w70_class	leverage	rank	reason
jev-review	ours: 669 non-merge commits on disk, thin fraction measurable keyless today	64	669	9.6	KEYLESS (13 tests + our draw)	SELF	act (gate blocks thin-diff scores)	1	top: only candidate that ACTS on our systems with ground truth on disk today and keyless cost; source seat SELF (13/13 + shipped applicability noul)
jev-phishing-bench	public labelled 2000 (1000/2000)	1000	2000	50.0	KEYLESS reproduce on committed results	SELF	act-enabler (helper improves every threshold we fit)	2	highest legit prevalence + public ground truth + keyless + SELF; cross-cutting leverage
jev-spam-eval	public labelled 19528 (8752 spam)	8752	19528	44.8	KEYLESS analyze on committed results	SELF	act (question-writing variant)	3	high prevalence + public ground truth + keyless + SELF; acts on our question quality
jev-benchmark	60-case gold on disk	42	60	70.0	KEYLESS analyze + 60 live calls to redo	FLOOR (lexical 58/60 beat Jev 52/60)	observe (floor-vs-Jev measurement)	4	BEATEN BY 1-3: highest prevalence but source seat FLOOR and application only observes; acting SELF applications win at equal keyless cost
jev-rerank-bench	2327 queries, BM25 top-30 cached	1617	2327	69.5	KEYLESS eval	SELF	act (abstain signal in jev-rerank.ts)	5	high prevalence + keyless + SELF; below 1-3: needs twin-list validation first, narrower leverage (one tool)
jev-codex-router	237 upstream + 1199 ours labelled	610	1199	50.9	KEYLESS --from-cache	SELF	act (routing advice)	6	good prevalence (ours) + keyless; below 1-3: about LLM tiers, less Jev-specific
jev-ultrafast	none (validator invariant, no corpus)	n/a	n/a	n/a	KEYLESS (31 tests)	SELF	act (validator hardening)	7	cheapest acting hardening; no ground truth to rank higher (invariants don't take prevalence)
s1-rs	library, FakeClient + stubs	n/a	n/a	n/a	RCH-WORKER (~66 s)	SELF	act (3-way gate in jev-client)	8	SELF + acting; costs a TS port + worker time — more expensive than 1-7
jev-router	fixtures only, no tier labels	unknown	n/a	n/a	KEYLESS (58 tests)	SELF	act (shadow policy guards)	9	acting + keyless + SELF; prevalence unknown (clone ships no labels)
bicameral	20/40 authored (own corpus)	20	40	50.0	KEYLESS (41 tests)	SELF	act (gate fallback)	10	authored ground truth (weaker than public/ours) + narrow fallback
awesome-jev-by-typesafe	toy fixtures, no labels	unknown	n/a	n/a	KEYLESS	SELF	act (one-line model logging)	11	trivially cheap but trivial leverage; below substantive acting rows
foreman	186449 ours (stuck 30)	30	186449	0.016	KEYLESS suite + live per observation	SELF	observe-log (0.016% undeployable as auto-act)	12	selection rule demotes 0.016% prevalence; observe-only
jev-align	user-defined labels per run	unknown	n/a	n/a	LIVE 150-320 calls	SELF	act (multiclass failure tool)	13	unknown prevalence + live cost; needs labels first
commit-miner	669 history, 0 genuine	0	669	0.0	LIVE ~25 calls	SELF	act (grade bodies)	14	zero positives = nothing to measure; mechanism adoptable as policy without Jev
jev-agent-failure-benchmark	6257 all-failure (no variance)	n/a	6257	n/a	LIVE 6257 calls	SELF	act (first-broke choice)	15	no positive-class variance + highest live cost
awesome-typesafe	catalogue, uncloned	n/a	n/a	n/a	KEYLESS list	SELF	act-enabler (per-question fit)	16	needs ~100+ labelled rows first; EVAL already covers the finding
typesafe-ai-benchmark	examples fixtures	unknown	n/a	n/a	LIVE (Jev + CEREBRAS keys)	SELF	act-enabler (TS incumbent arm)	17	two live keys + unknown prevalence
pi-subagents	toy triage (1 blocker/2 items)	n/a	n/a	n/a	KEYLESS	SELF	plumbing (CLI wrap, no Jev decision)	18	no Jev decision to rank
awesome-jev	catalogue, uncloned	n/a	n/a	n/a	KEYLESS	SELF	act-enabler (gate clones)	19	uncloned listing claims; clone-first per catalogue path
