receipt	bar_sha	rows_path	reason
bicameral-gate-v3-20260924.md	be1e7f1	work/bicameral-gate/sample-c-rows-current.jsonl	input or not an output rows file
bicameral-gate-v3-20260924.md	be1e7f1	work/bicameral-gate/sample-c-rows-haiku.jsonl	input or not an output rows file
bicameral-gate-v3-20260924.md	be1e7f1	work/bicameral-gate/sample-c-rows-v3.jsonl	input or not an output rows file
choice-banking77-20260924.md	a0ed3c1	work/choice-banking77/subset.jsonl	input or not an output rows file
choice-clinc150-variance-20260924.md	d2f1b2a	work/choice-clinc150/subset.jsonl	input or not an output rows file
claim-check-numeric-20260924.md	8210e02	work/jev-claim-check/numeric-cases.jsonl	input or not an output rows file
claim-check-numeric-20260924.md	8210e02	work/jev-claim-check/numeric-choice-cases.jsonl	input or not an output rows file
claim-check-numeric-20260924.md	8210e02	work/jev-claim-check/numeric-v2-cases.jsonl	input or not an output rows file
claim-check-numeric-choice-20260924.md	993414f	work/jev-claim-check/numeric-choice-cases.jsonl	input or not an output rows file
claim-check-numeric-v2-20260924.md	3738322	work/jev-claim-check/numeric-v2-cases.jsonl	input or not an output rows file
close-reason-check-20260924.md	a10c0a3	work/jev-claim-check/close-atomic-diagnostic.jsonl	input or not an output rows file
close-reason-check-20260924.md	a10c0a3	work/jev-claim-check/close-cases.jsonl	input or not an output rows file
confidence-cascade-20260924.md	cc559c6	work/choice-banking77/subset.jsonl	input or not an output rows file
grok-incumbent-fever-yelp-b77-20260924.md	6164a11	work/choice-banking77/full.jsonl	input or not an output rows file
grok-incumbent-fever-yelp-b77-20260924.md	6164a11	work/noul-fever/sample.jsonl	input or not an output rows file
injection-variance-20260924.md	142fd5d	work/nev-differential/fresh-20260923/haiku-injection-662.jsonl	input or not an output rows file
injection-variance-20260924.md	142fd5d	work/nev-differential/fresh-20260923/jev-injection-662.jsonl	input or not an output rows file
injection-variance-20260924.md	142fd5d	work/nev-differential/rows-A-xai-grok-4.jsonl	reversed; rows first-add 57d30e9
injection-variance-20260924.md	142fd5d	work/nev-differential/rows-B-anthropic-claude-haiku-4-5.jsonl	reversed; rows first-add 57d30e9
jev-benchmark-w70-2026-09-23.md	fec3f95	work/tmp-rescue/jev-benchmark-w70-t4.jsonl	input or not an output rows file
jev-claim-check-20260924.md	ae01091	work/jev-claim-check/l3-frames.jsonl	input or not an output rows file
jev-claim-check-20260924.md	ae01091	work/jev-claim-check/l3-scope-frames.jsonl	input or not an output rows file
jev-toolout-flag-20260924.md	845addd	work/jev-injection-flag/rows-jev-withheld.jsonl	reversed; rows first-add 888efbe
jev-toolout-flag-20260924.md	845addd	work/nev-injection/pairs.jsonl	input or not an output rows file
noul-fever-20260924.md	834a569	work/noul-fever/sample.jsonl	input or not an output rows file
noul-fever-criteria-20260924.md	e506575	work/noul-fever/rows-jev.jsonl	reversed; rows first-add aadd4d8
noul-fever-criteria-20260924.md	e506575	work/noul-fever/sample.jsonl	input or not an output rows file
noul-scifact-20260924.md	15b0371	work/noul-scifact/sample.jsonl	input or not an output rows file
noul-scifact-criteria-20260924.md	30eb285	work/noul-scifact/sample.jsonl	input or not an output rows file
noul-toxicity-20260924.md	b608070	work/noul-toxicity/sample.jsonl	input or not an output rows file
score-quixbugs-20260924.md	6ee168c	work/score-quixbugs/sample.jsonl	input or not an output rows file
score-sst5-20260924.md	ae161b6	work/score-sst5/sample.jsonl	input or not an output rows file
score-stsb-20260924.md	8e4bda9	work/score-stsb/labels.jsonl	input or not an output rows file
score-yelp-20260924.md	52d94c2	work/score-yelp/sample.jsonl	input or not an output rows file
score-yelp-20260924.md	52d94c2	work/score-yelp/texts.jsonl	input or not an output rows file
second-incumbent-20260924.md	a2a4c7a	work/choice-banking77/rows-haiku.jsonl	reversed; rows first-add 3709ee6
second-incumbent-20260924.md	a2a4c7a	work/choice-banking77/rows-jev.jsonl	reversed; rows first-add 3709ee6
second-incumbent-20260924.md	a2a4c7a	work/choice-banking77/subset.jsonl	input or not an output rows file
second-incumbent-20260924.md	a2a4c7a	work/choice-clinc150/subset.jsonl	input or not an output rows file
second-incumbent-20260924.md	a2a4c7a	work/noul-scifact/rows-haiku.jsonl	reversed; rows first-add 83a7295
second-incumbent-20260924.md	a2a4c7a	work/noul-scifact/rows-jev.jsonl	reversed; rows first-add 83a7295
second-incumbent-20260924.md	a2a4c7a	work/noul-scifact/sample.jsonl	input or not an output rows file
second-incumbent-20260924.md	a2a4c7a	work/score-sst5/sample.jsonl	input or not an output rows file
injection-variance-20260924.md	4447b25		rows-commit-not-bar: first-adds only rows files: work/nev-differential/variance-20260924/grok-run2/rows-A-xai-grok-4.jsonl,work/nev-differential/variance-20260924/grok-run3/rows-A-xai-grok-4.jsonl,work/nev-differential/variance-20260924/rows-jev-run3.jsonl
oracle-kit-select-report-20260923.md	c22673b		adds-none: stated sha first-adds no file
