task	state_bytes	question_bytes	input_tokens	outcome
multi_apps/f7dfbef3-7697-431c-883a-db8583a4e4f9	11041	473	6951	answered
libreoffice_writer/0e47de2a-32e0-456c-a366-8c607ef7a9d2	24038	473	15394	answered
os/5ea617a3-0e86-4ba6-aab2-dac9aa2e8d57	6907	473	4193	answered
multi_apps/d9b7c649-c975-4f53-88f5-940b29c47247	29228	473	18698	answered
os/ec4e3f68-9ea4-4c18-a5c9-69f89d1178b3	4884	473	2913	answered
libreoffice_impress/5c1a6c3d-c1b3-47cb-9b01-8d1b7544ffa1	32844	473	21386	answered
multi_apps/9f3bb592-209d-43bc-bb47-d77d9df56504	8282	473	4893	answered
chrome/a96b564e-dbe9-42c3-9ccf-b4498073438a	9106	473	5544	answered
libreoffice_calc/6054afcb-5bab-4702-90a0-b259b5d3217c	20574	473	13252	answered
libreoffice_impress/73c99fb9-f828-43ce-b87a-01dc07faa224	9134	473	5728	answered
libreoffice_calc/eb03d19a-b88d-4de4-8a64-ca0ac66f426b	13087	473	8315	answered
vlc/f3977615-2b45-4ac5-8bba-80c17dbe2a37	9856	473	5518	answered
os/b6781586-6346-41cd-935a-a6b1487918fc	17192	473	11066	answered
libreoffice_calc/a01fbce3-2793-461f-ab86-43680ccbae25	25307	473	16301	answered
multi_apps/f5c13cdd-205c-4719-a562-348ae5cd1d91	23330	473	15079	answered
chrome/82bc8d6a-36eb-4d2d-8801-ef714fb1e55a	20894	473	13193	answered
multi_apps/5bc63fb9-276a-4439-a7c1-9dc76401737f	56753	473		max_tokens_exceeded
gimp/7767eef2-56a3-4cea-8c9f-48c070c7d65b	11286	473	7165	answered
vs_code/276cc624-87ea-4f08-ab93-f770e3790175	9270	473	5830	answered
multi_apps/48c46dc7-fe04-4505-ade7-723cba1aa6f6	15578	473	9950	answered
thunderbird/a1af9f1c-50d5-4bc3-a51e-4d9b425ff638	84544	473		max_tokens_exceeded
libreoffice_writer/0b17a146-2934-46c7-8727-73ff6b6483e8	13044	473	8165	answered
libreoffice_impress/455d3c66-7dc6-4537-a39a-36d3e9119df7	11403	473	7049	answered
libreoffice_impress/ac9bb6cb-1888-43ab-81e4-a98a547918cd	31492	473	20323	answered
multi_apps/81c425f5-78f3-4771-afd6-3d2973825947	19534	473	12534	answered
chrome/12086550-11c0-466b-b367-1d9e75b3910e	11283	473	6589	answered
multi_apps/185f29bd-5da0-40a6-b69c-ba7f4e0324ef	16696	473	9589	answered
libreoffice_calc/6e99a1ad-07d2-4b66-a1ce-ece6d99c20a5	9756	473	6273	answered
multi_apps/82e3c869-49f6-4305-a7ce-f3e64a0618e7	22533	473	14610	answered
chrome/9656a811-9b5b-4ddf-99c7-5117bcef0626	8325	473	4737	answered
libreoffice_calc/1de60575-bb6e-4c3d-9e6a-2fa699f9f197	28072	473	18170	answered
libreoffice_impress/4ed5abd0-8b5d-47bd-839f-cacfa15ca37a	40130	473	26349	answered
gimp/77b8ab4d-994f-43ac-8930-8ca087d7c4b4	10753	473	6581	answered
gimp/f4aec372-4fb0-4df5-a52b-79e0e2a5d6ce	20460	473	13092	answered
libreoffice_impress/a434992a-89df-4577-925c-0c58b747f0f4	21934	473	14394	answered
libreoffice_writer/72b810ef-4156-4d09-8f08-a0cf57e7cefe	11210	473	6824	answered
gimp/e2dd0213-26db-4349-abe5-d5667bfd725c	11698	473	7299	answered
chrome/2ad9387a-65d8-4e33-ad5b-7580065a27ca	9016	473	5553	answered
vs_code/53ad5833-3455-407b-bbc6-45b4c79ab8fb	7285	473	4255	answered
chrome/1704f00f-79e6-43a7-961b-cedd3724d5fd	23391	473	15035	answered
multi_apps/881deb30-9549-4583-a841-8270c65f2a17	20856	473	13067	answered
multi_apps/6f4073b8-d8ea-4ade-8a18-c5d1d5d5aa9a	8800	473	5180	answered
multi_apps/8e116af7-7db7-4e35-a68b-b0939c066c78	35062	473	22928	answered
os/28cc3b7e-b194-4bc9-8353-d04c0f4d56d2	8635	473	5175	answered
libreoffice_writer/e528b65e-1107-4b8c-8988-490e4fece599	10147	473	6030	answered
chrome/030eeff7-b492-4218-b312-701ec99ee0cc	8905	473	5432	answered
gimp/5ca86c6f-f317-49d8-b6a7-b527541caae8	52114	473		max_tokens_exceeded
libreoffice_impress/7dbc52a6-11e0-4c9a-a2cb-1e36cfda80d8	16820	473	10833	answered
multi_apps/9219480b-3aed-47fc-8bac-d2cffc5849f7	31993	473	20256	answered
multi_apps/aad10cd7-9337-4b62-b704-a857848cedf2	25682	473	16020	answered
multi_apps/a82b78bb-7fde-4cb3-94a4-035baf10bcf0	29099	473	18868	answered
thunderbird/15c3b339-88f7-4a86-ab16-e71c58dcb01e	9678	473	5620	answered
multi_apps/7e287123-70ca-47b9-8521-47db09b69b14	17982	473	10798	answered
gimp/7b7617bd-57cc-468e-9c91-40c4ec2bcb3d	11490	473	7291	answered
chrome/121ba48f-9e17-48ce-9bc6-a4fb17a7ebba	33728	473	21830	answered
thunderbird/a10b69e1-6034-4a2b-93e1-571d45194f75	10776	473	6829	answered
libreoffice_writer/0a0faba3-5580-44df-965d-f562a99b291c	22288	473	14120	answered
libreoffice_calc/ecb0df7a-4e8d-4a03-b162-053391d3afaf	15431	473	9646	answered
libreoffice_impress/7ae48c60-f143-4119-b659-15b8f485eb9a	37250	473	25071	answered
libreoffice_impress/a53f80cd-4a90-4490-8310-097b011433f6	34991	473	23028	answered
multi_apps/c867c42d-a52d-4a24-8ae3-f75d256b5618	20991	473	13395	answered
libreoffice_calc/7a4e4bc8-922c-4c84-865c-25ba34136be1	20806	473	13359	answered
multi_apps/3e3fc409-bff3-4905-bf16-c968eee3f807	49290	473	32234	answered
gimp/2e6f678f-472d-4c55-99cc-8e7c5c402a71	19502	473	12459	answered
vs_code/c6bf789c-ba3a-4209-971d-b63abf0ab733	16751	473	10597	answered
libreoffice_calc/8b1ce5f2-59d2-4dcc-b0b0-666a714b9a14	36703	473	24115	answered
chrome/b4f95342-463e-4179-8c3f-193cd7241fb2	12430	473	7553	answered
vs_code/0512bb38-d531-4acf-9e7e-0add90816068	10130	473	6332	answered
libreoffice_writer/f178a4a9-d090-4b56-bc4c-4b72a61a035d	14963	473	9424	answered
chrome/93eabf48-6a27-4cb6-b963-7d5fe1e0d3a9	21050	473	12901	answered
libreoffice_writer/adf5e2c3-64c7-4644-b7b6-d2f0167927e7	42548	473	27684	answered
libreoffice_impress/3161d64e-3120-47b4-aaad-6a764a92493b	35226	473	23165	answered
libreoffice_impress/af23762e-2bfd-4a1d-aada-20fa8de9ce07	9684	473	5684	answered
multi_apps/f8cfa149-d1c1-4215-8dac-4a0932bad3c2	22831	473	14582	answered
multi_apps/510f64c8-9bcc-4be1-8d30-638705850618	5280	473	2984	answered
libreoffice_writer/0e763496-b6bb-4508-a427-fad0b6c3e195	17741	473	11342	answered
chrome/b7895e80-f4d1-4648-bee0-4eb45a6f1fa8	21704	473	13799	answered
chrome/a728a36e-8bf1-4bb6-9a03-ef039a5233f0	9734	473	5665	answered
multi_apps/778efd0a-153f-4842-9214-f05fc176b877	24455	473	15544	answered
thunderbird/d38192b0-17dc-4e1d-99c3-786d0117de77	8192	473	4898	answered
libreoffice_impress/841b50aa-df53-47bd-a73a-22d3a9f73160	17645	473	11439	answered
vs_code/971cbb5b-3cbf-4ff7-9e24-b5c84fcebfa6	25746	473	16191	answered
multi_apps/d1acdb87-bb67-4f30-84aa-990e56a09c92	50430	473		max_tokens_exceeded
chrome/35253b65-1c19-4304-8aa4-6884b8218fc0	9365	473	5732	answered
vs_code/4e60007a-f5be-4bfc-9723-c39affa0a6d3	8587	473	5125	answered
multi_apps/aceb0368-56b8-4073-b70e-3dc9aee184e0	17150	473	10650	answered
libreoffice_calc/51719eea-10bc-4246-a428-ac7c433dd4b3	25763	473	16936	answered
libreoffice_calc/04d9aeaf-7bed-4024-bedb-e10e6f00eb7f	15822	473	10045	answered
chrome/59155008-fe71-45ec-8a8f-dc35497b6aa8	24044	473	15807	answered
chrome/99146c54-4f37-4ab8-9327-5f3291665e1e	29752	473	19127	answered
chrome/2ae9ba84-3a0d-4d4c-8338-3a1478dc5fe3	9026	473	5514	answered
multi_apps/bb83cab4-e5c7-42c7-a67b-e46068032b86	25651	473	16605	answered
libreoffice_impress/0a211154-fda0-48d0-9274-eaac4ce5486d	41616	473	27373	answered
chrome/f0b971a1-6831-4b9b-a50e-22a6e47f45ba	30755	473	20308	answered
gimp/7a4deb26-d57d-4ea9-9a73-630f66a7b568	15347	473	9655	answered
vs_code/70745df8-f2f5-42bd-8074-fbc10334fcc5	15368	473	10005	answered
libreoffice_writer/3ef2b351-8a84-4ff2-8724-d86eae9b842e	6692	473	3822	answered
vlc/bba3381f-b5eb-4439-bd9e-80c22218d5a7	10256	473	6029	answered
os/f9be0997-4b7c-45c5-b05c-4612b44a6118	6709	473	3853	answered
libreoffice_calc/4172ea6e-6b77-4edb-a9cc-c0014bd1603b	11789	473	7526	answered
libreoffice_calc/12382c62-0cd1-4bf2-bdc8-1d20bf9b2371	23245	473	15062	answered
chrome/2888b4e6-5b47-4b57-8bf5-c73827890774	29964	473	19294	answered
multi_apps/c7c1e4c3-9e92-4eba-a4b8-689953975ea4	20539	473	13278	answered
libreoffice_calc/42e0a640-4f19-4b28-973d-729602b5a4a7	14657	473	8949	answered
libreoffice_calc/1334ca3e-f9e3-4db8-9ca7-b4c653be7d17	7946	473	5054	answered
libreoffice_impress/ce88f674-ab7a-43da-9201-468d38539e4a	9246	473	5731	answered
libreoffice_impress/a097acff-6266-4291-9fbd-137af7ecd439	10224	473	6444	answered
libreoffice_calc/035f41ba-6653-43ab-aa63-c86d449d62e5	19300	473	12426	answered
multi_apps/b5062e3e-641c-4e3a-907b-ac864d2e7652	15605	473	9555	answered
libreoffice_writer/4bcb1253-a636-4df4-8cb0-a35c04dfef31	9170	473	5766	answered
chrome/6c4c23a1-42a4-43cc-9db1-2f86ff3738cc	22028	473	14160	answered
chrome/47543840-672a-467d-80df-8f7c3b9788c9	17343	473	10949	answered
multi_apps/a74b607e-6bb5-4ea8-8a7c-5d97c7bbcd2a	12301	473	7409	answered
libreoffice_impress/21760ecb-8f62-40d2-8d85-0cee5725cb72	10016	473	6241	answered
libreoffice_calc/1273e544-688f-496b-8d89-3e0f40aa0606	12464	473	8118	answered
libreoffice_impress/a669ef01-ded5-4099-9ea9-25e99b569840	35695	473	23061	answered
multi_apps/74d5859f-ed66-4d3e-aa0e-93d7a592ce41	38825	473	24592	answered
multi_apps/2c9fc0de-3ee7-45e1-a5df-c86206ad78b5	7092	473	4089	answered
