# source_url: https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf
# source_sha256: ba2a9a0a5e46aa5f34cfc720ac08049253917407e2fbd4a8cdbd2c8ca3ec8455
# table: 3 (pdftotext -layout extraction; per-task lines)
task	human_success_rate	cc_net_mean_score	world_of_bits_bc_rl	workflow_guided_exploration_bc_rl	learning_to_navigate_web_rl	q_net_rl	workflow_guided_exploration_augmented	learning_to_navigate_web_augmented	aggregated_sota_bc_rl	aggregated_sota_augmented
bisect-angle	0.92	0.97	0.80	n/a	n/a	n/a	n/a	n/a	0.80	0.80
book-flight	0.87	0.87	0.00	0.00	n/a	n/a	0.00	1.00	0.00	1.00
choose-date-easy	0.99	0.99	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
choose-date-medium	0.98	0.99	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
choose-date	0.97	0.97	0.00	0.00	n/a	1.00	0.00	n/a	1.00	1.00
choose-list	0.98	0.99	0.25	0.16	0.26	n/a	0.16	0.26	0.26	0.26
circle-center	0.96	0.97	0.98	n/a	n/a	n/a	n/a	n/a	0.98	0.98
click-button-sequence	0.94	1.00	0.22	0.99	n/a	1.00	1.00	n/a	1.00	1.00
click-button	0.98	1.00	0.62	1.00	1.00	1.00	1.00	1.00	1.00	1.00
click-checkboxes-large	0.87	0.71	n/a	0.68	n/a	n/a	0.84	n/a	0.68	0.84
click-checkboxes-soft	0.73	0.95	n/a	0.51	n/a	n/a	0.94	n/a	0.51	0.94
click-checkboxes-transfer	0.98	0.99	n/a	0.64	n/a	n/a	0.64	n/a	0.64	0.64
click-checkboxes	0.97	0.98	0.48	0.98	n/a	1.00	1.00	n/a	1.00	1.00
click-collapsible-2	0.97	0.98	0.11	0.65	n/a	n/a	0.99	n/a	0.65	0.99
click-collapsible	0.99	1.00	0.98	1.00	1.00	n/a	1.00	1.00	1.00	1.00
click-color	0.97	1.00	0.23	1.00	n/a	n/a	1.00	n/a	1.00	1.00
click-dialog-2	0.99	1.00	0.53	1.00	n/a	n/a	1.00	n/a	1.00	1.00
click-dialog	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
click-link	0.99	0.99	0.31	1.00	1.00	1.00	1.00	1.00	1.00	1.00
click-menu-2	0.98	0.83	0.16	n/a	n/a	n/a	n/a	n/a	0.16	0.16
click-menu	0.97	0.94	0.13	n/a	n/a	n/a	n/a	n/a	0.13	0.13
click-option	0.99	0.99	0.28	1.00	n/a	1.00	1.00	n/a	1.00	1.00
click-pie	0.98	0.97	0.15	0.32	1.00	n/a	0.32	1.00	1.00	1.00
click-scroll-list	0.91	0.60	0.07	n/a	n/a	n/a	n/a	n/a	0.07	0.07
click-shades	0.91	1.00	0.27	0.22	n/a	n/a	0.99	n/a	0.27	0.99
click-shape	0.88	0.95	0.11	0.64	n/a	n/a	0.64	n/a	0.64	0.64
click-tab-2-easy	0.99	0.99	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
click-tab-2-hard	0.96	0.98	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
click-tab-2-medium	0.97	0.99	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
click-tab-2	0.97	0.98	0.08	0.64	n/a	1.00	0.98	n/a	1.00	1.00
click-tab	0.99	1.00	0.97	0.55	1.00	1.00	1.00	1.00	1.00	1.00
click-test-2	0.99	1.00	0.83	1.00	n/a	1.00	1.00	n/a	1.00	1.00
click-test-transfer	0.99	1.00	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
click-test	1.00	1.00	1.00	1.00	n/a	1.00	1.00	n/a	1.00	1.00
click-widget	0.83	1.00	0.34	0.93	n/a	1.00	0.93	n/a	1.00	1.00
copy-paste-2	0.94	0.63	0.00	n/a	n/a	n/a	n/a	n/a	0.00	0.00
copy-paste	0.94	0.79	0.00	n/a	n/a	n/a	n/a	n/a	0.00	0.00
count-shape	0.82	0.85	0.18	0.59	n/a	n/a	0.76	n/a	0.59	0.76
count-sides	0.98	1.00	0.30	n/a	n/a	n/a	n/a	n/a	0.30	0.30
drag-box	0.99	1.00	0.31	n/a	n/a	n/a	n/a	n/a	0.31	0.31
drag-cube	0.99	0.79	0.18	n/a	n/a	n/a	n/a	n/a	0.18	0.18
drag-items-grid	0.87	0.98	0.01	n/a	n/a	n/a	n/a	n/a	0.01	0.01
drag-items	0.93	0.99	0.41	n/a	n/a	n/a	n/a	n/a	0.41	0.41
drag-shapes	0.96	0.99	0.92	n/a	n/a	n/a	n/a	n/a	0.92	0.92
drag-sort-numbers	0.92	0.97	0.66	n/a	n/a	n/a	n/a	n/a	0.66	0.66
email-inbox-delete	0.99	1.00	n/a	n/a	n/a	1.00	n/a	n/a	1.00	1.00
